index,isbn,book_title,book_author,Category,year_of_publication
0,195153448,Classical Mythology,Mark P. O. Morford,['Social Science'],2002
1,2005018,Clara Callan,Richard Bruce Wright,['Actresses'],2001
15,60973129,Decision in Normandy,Carlo D'Este,['1940-1949'],1991
18,374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,['Medical'],1999
29,393045218,The Mummies of Urumchi,E. J. W. Barber,['Design'],1999
30,399135782,The Kitchen God's Wife,Amy Tan,['Fiction'],1991
63,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,['History'],2000
68,671870432,PLEADING GUILTY,Scott Turow,9,1993
71,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,['Fiction'],1996
72,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,['Fiction'],2002
73,771074670,Nights Below Station Street,David Adams Richards,['Fiction'],1988
79,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,['History'],2000
80,887841740,The Middle Stories,Sheila Heti,9,2004
82,1552041778,Jane Doe,R. J. Kaiser,9,1999
83,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,9,1998
91,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,9,1998
92,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,['Nature'],1999
95,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,['Fiction'],1994
98,440234743,The Testament,John Grisham,['Fiction'],1999
520,452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,['Fiction'],1994
700,609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,['Humor'],1999
719,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,['Cooking'],2001
756,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,['Reference'],2003
759,61076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Olsen,['Juvenile Fiction'],2000
762,439095026,Tell Me This Isn't Happening,Robynn Clairday,['Juvenile Fiction'],1999
768,689821166,Flood : Mississippi 1927,Kathleen Duey,['Juvenile Fiction'],1998
